"category_id","category_name"
874,M&M's
162166,Other Middle Eastern Coins
162138,Wooden Nickels
258045,A/V Cleaning Solutions
26346,"Coats, Jackets & Vests"
134734,Ironing Board Covers & Accessories
94939,Wall & Ceiling Lights
3180,Other Printing & Graphic Arts
165497,"1986 Vancouver"
185286,"Anatomical, Eye/Vision & Reference Charts"
41189,"1920-39"
36019,Decorative Plates & Bowls
162981,Bells
63615,Anchors
183907,Castle Nuts & Slotted Nuts
79801,Inflatable Floats & Tubes
261620,Tsuba
184129,Flow Dividers
259281,Electrical Switches & Dimmers
12921,Stage Lighting: Systems & Kits
150010,Baskets
39648,Council & Shoulder Patches
20267,Esterbrook
183952,Food Truck Parts & Accessories
150027,Sculptures
494,"Other Jewelry Care, Design & Repair"
20946,Signs
99965,Space 1999
79001,Lens Caps
38199,Nightstands
28061,Ski Machines
159419,Mulch
11829,Bookshelves
181949,Borescopes & Fiberscopes
108858,Talking Heads
59315,Sports Bras
1216,Other Antique Silverplate
259684,Fluids & Dipsticks
182190,Exhaust Systems & Mufflers
262385,Ashtrays
261792,Balls
36346,Commercial Food Processors
109492,Shock Cords & Bungees
11732,Other Alphabet & Language Toys
155241,Africa
86696,Price Guides & Publications
159108,Youth
167851,Pool Fences
183840,Other Bathroom Dispensers
260761,Drying Agent & Finish
20741,Toys
33513,Lighting for Video Production
38041,Felts & Silks
168217,Peek A Blocks
432,Other Beatles Memorabilia
70994,Celebrities
25341,Pencil Sharpeners
258553,Garbage Disposers
676,"19th Century: Unused"
35681,Banks
157014,Mitra
181769,Rigid Couplings
98464,South America Maps
168116,Publications
183429,Electric Fence Insulators
159684,Sprayers
14019,Other Engineering Collectibles
116643,Glass Cutters
156535,Wood
95145,British Vehicles
108730,Ads & Handbills
40034,Mixed Lots
126396,Laser Measuring Tools
177914,Mixed Martial Arts (MMA)
148621,Jaw Harps
183121,Other Fabric Painting
185172,Absorbance Detectors
258277,PCB Mounting Cards
25348,Label Makers
71485,Tabletop & Portable Displays
31413,Hair Loss Treatments
2599,Puffkins
109065,Woks
90871,Falconry Equipment
1432,Bronze
159955,Audio Power Conditioners
36017,"Boxes, Jars & Tins"
156378,Reenactment & Reproductions
20646,Spice Jars & Racks
57104,Other Storage & Handling Equipment
181248,Other Hand Percussion
47084,Stools & Thrones
163015,Meat Grinders
1620,Grateful Dead
179001,Equipment Parts
90655,Otterhound
37914,Door Knobs & Handles
104061,Prop Driven Aircraft
98473,Other Nursery Décor
16219,Organs
95093,Bakery Racks
75043,Alternative Therapies
88886,Cosmetic Bags
90639,Finland
259272,Permanent Magnetic Alternators
258730,Napkin Dispensers
183866,Replica Training Devices
165790,Hats & Caps
258322,Reciprocating Saws
7300,Baits & Lures
183222,Finished Hardanger Pieces
179251,Dollhouse Décor & Accessories
121152,Bedside Sleepers
179352,Tonga (1970-Now)
162222,Guinea
257836,Other Medical & Lab Glassware
3435,Ireland
43479,Other Film Photography
257927,Smart Door Lock Parts
47106,Web Hosting
75037,Allergy
164104,Yes
31568,Laptop Replacement Keyboards
181258,Violas
102366,J-M
170067,Vintage Manuals & Guides
182137,Other Orthopedic Products
180928,Hem Tape & Hot Fix Applicators
159050,Sliding Protection
168127,Publications
47277,Girths
182108,Press-On Nails
134753,Other Dog Health Care
184542,Ultrasound Machines
165326,Merchandise & Memorabilia
166772,Ethiopia
29827,Cross
99977,"UFOs, Area 51, Roswell"
98735,Gloves
73836,Transmitters
179360,Comoros
63746,Rolling Rock
58177,Other Stationary Engines
165641,Faber Castell
73989,Shoes & Footwear
58730,Travel Pillows
182931,Metal & Alloy Square Tubes
97122,Excavators
183998,Drain Fittings
85967,Björk
35829,Cups & Plates
891,Flasks
173600,Dutch
103992,Whistles
259036,Mortising Machines
165472,Maneki Neko
437,Accessories
262412,Sconces
4172,Pacific Islands & Oceania
146545,Other Scrapbook Embellishments
184485,"Maritime Flags, Ensigns & Pennants"
156420,Edged Weapons
36276,Foosball
39696,Nebraska
260227,Crowfoot Wrenches
176985,Vinyl Records
116654,Foam & Felt Shapes
165671,Prayer Beads
689,Postal History
102504,Coins
163957,Backstage Passes
933,"1960-Now"
260185,Polishing & Buffing Kits
170827,Pre-Decimal
258262,Cleanroom Components
165622,Faber Castell
36326,RFID Readers & Writers
83876,Slide Trays & Carousels
178136,Category 23
180934,Chin Straps
75601,Thermometers
1407,Lighting Parts
930,New York
258827,Snow Cone Supplies
97136,RF Communication Test Sets
183598,Category 5.1
102515,Ouija Boards
50551,Fuses & Fuse Holders
151727,Canada
104677,Beastie Boys
47268,Jackets
180971,Wood Composite Panels & Sheets
63654,Dakin
54919,Palette Knives
4136,Public Timetables
